"2026-02-03T12:47:56.550","Mod 5_day_Check","Symbol","Cmp","%ch5","Lch5","Sl","Target","5d_high","R_vol","Forward pe","Pe","Rsi","Sector","Industry","Adx","%ch y_low","Srs","Ars","Srs y","Ars y","Lc","Low","%ch sl","%ch sl atr","Atr%","%ch_3low","Column26"
"2026-02-03T12:47:56.550","About to","AXISBANK","1356.60","3.44","12.74","1.62","1345.50","1309.05","1315.18","1.19","15.01","15.48","45.43","67.32","bank","banks - private sector","25.84","-0.047","0.067","0.017","0.081","0.048","0.825"
"2026-02-03T12:47:56.550","About to","TATASTEEL","193.78","2.80","8.20","-2.70","191.51","190.50","185.53","0.564","19.46","34.53","60.94","67.62","metals & mining","steel - large","25.71","-4.06","0.070","0.168","0.058","0.179","1.19"
"2026-02-03T12:47:56.550","About to","BAJAJ-AUTO","9628.50","1.39","5.60","-2.53","9515","9341.80","9728.55","1.30","24.44","29.84","53.01","65.44","auto","automobiles - scooters and 3 - wheelers","21.35","-1.05","0.074","0.123","0.034","0.119","1.19"
"2026-02-03T12:47:56.550","About to","NAVINFLUOR","6264","6.15","8.85","-3.44","6244","5858.66","5964.51","1.79","53.89","66.53","50.67","64.73","chemicals","chemicals","16.09","-0.803","0.090","0.337","0.066","0.339","0.320"
"2026-02-03T12:47:56.550","About to","INDIACEM","460.15","0.382","10.32","-1.04","453.60","444.16","479.75","0.211","-1278.19","-127.69","42.37","63.66","building materials","cement - south india","36.63","-2.10","0.107","0.296","0.166","0.381","1.44"
"2026-02-03T12:47:56.550","About to","AETHER","1059","2.02","11.90","-1.91","1043.70","991.48","1107.78","2.29","65.05","70.71","59.57","73.19","chemicals","chemicals","29.05","-0.207","0.141","0.250","0.108","0.266","1.47"
"2026-02-03T12:47:56.550","About to","BAJAJCON","350.65","0.718","20.99","-2.13","346.50","304.63","413.44","0.803","25.48","30.20","65.02","77.08","fmcg","personal care - indian","21.93","3.60","0.202","0.769","0.108","0.721","1.20"
"2026-02-03T12:47:56.550","About to","CUB","299.25","4.83","17.66","-1.96","293.50","274.58","301.75","1.70","16.70","16.86","47.92","72.76","bank","banks - private sector","22.59","0.311","0.213","0.370","0.237","0.410","1.96"
"2026-02-03T12:47:56.550","About to","FEDERALBNK","283.95","0.942","7.07","-0.915","283.35","278.99","284.77","0.477","15.95","16.87","62.54","73.37","bank","banks - private sector","36.99","-0.201","0.233","0.358","0.213","0.378","0.212"
"2026-02-03T12:47:56.550","About to","DREDGECORP","1103","2.04","31.36","-2.56","1093.10","1014.42","1180.87","0.216","-22.58","-114.63","45.20","62.72","miscellaneous","miscellaneous","25.91","3.23","0.260","0.324","0.305","0.410","0.906"
"2026-02-03T12:47:56.550","About to","UJJIVANSFB","63.11","2.14","4.44","-9.61","62.70","61.70","61.92","0.522","16.43","24.23","70.12","71.57","bank","banks - private sector","26.12","-4.07","0.341","0.357","0.239","0.336","0.654"
"2026-02-03T12:47:56.550","About to","INFOBEAN","876.80","3.10","11.75","-11.45","872","791.08","939.38","0.568","27.54","27.33","50.69","68.49","i.t","computers - software - medium / small","40.09","2.05","0.344","1.17","0.382","1.36","0.550"
"2026-02-03T12:47:56.550","About to","JKTYRE","543.45","3.61","7.27","-2.67","527.60","500.52","560.47","0.984","16.81","26.86","56.44","78.64","auto","tyres","30.27","0.296","0.356","0.425","0.346","0.462","3.00"
