Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date,From52wh,3d range,5d,Free float,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m
2026-07-21T02:50:24.697,SUNPHARMA,1956.4,1.23,1896.3,1910.0,1934.7,1988.94,0.69,43.28,40.93,67.09,healthcare,pharmaceuticals - indian - bulk drugs & formln,33.18,1.12,9.88,0.08,0.12,1898.36,1857.22,4.37,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,HEG,594.3,1.18,571.05,564.5,551.6,658.35,0.83,-25.18,33.61,62.22,industrials,electrodes - graphites,21.99,7.74,11.42,-0.05,-0.03,545.37,510.98,4.35,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,SIEMENS,3678.4,0.54,3544.66,3437.0,3448.49,4023.27,0.34,88.42,84.14,57.41,industrials,electric equipment,22.32,6.67,16.35,0.16,0.15,3460.05,3317.88,3.91,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,AARTIIND,495.4,0.29,479.56,478.35,479.51,519.24,0.59,32.68,42.85,57.49,chemicals,chemicals,17.58,3.31,33.02,0.29,0.26,462.26,444.6,3.71,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,CHOICEIN,815.05,0.77,787.92,800.1,823.28,802.7,0.65,66.81,72.32,65.05,financials,finance & investments,33.54,-1.0,7.8,-0.09,-0.06,774.86,749.56,3.37,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,JSWINFRA,348.45,1.84,332.22,331.6,337.71,364.55,0.96,43.34,47.6,66.27,transportation,miscellaneous,36.03,3.18,27.82,0.25,0.16,324.06,307.21,3.19,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,EXIDEIND,436.65,0.33,425.03,417.8,422.57,457.78,1.28,43.15,43.45,71.75,auto,auto ancillaries,36.28,3.33,19.39,0.17,0.11,415.23,405.76,3.11,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,BAJFINANCE,1064.0,0.73,1017.44,995.2,1034.11,1108.83,1.0,30.26,34.76,69.63,financials,finance & investments,35.31,2.89,6.61,0.03,-0.01,1013.23,978.85,2.76,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,DIVISLAB,7318.0,0.97,7092.75,6909.0,6982.01,7821.99,1.1,64.62,75.64,71.64,healthcare,pharmaceuticals - indian - bulk drugs,36.77,4.81,15.52,0.08,0.05,6992.04,6868.08,2.06,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,IIFL,557.7,0.45,541.25,537.6,535.0,591.75,0.5,10.1,14.27,60.51,financials,finance & investments,25.65,4.24,-1.59,-0.19,0.01,519.66,497.34,1.92,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,AEGISVOPAK,281.02,3.61,265.11,262.4,281.89,279.71,1.23,113.31,131.93,61.18,transportation,miscellaneous,47.2,-0.31,10.6,0.19,-0.03,246.48,222.06,1.89,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,IDFCFIRSTB,81.78,1.78,78.11,78.78,79.66,84.96,0.99,53.8,43.27,63.69,bank,banks - private sector,33.81,2.66,-1.2,-0.1,-0.03,78.33,76.14,1.77,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,SAREGAMA,514.15,3.9,481.52,481.65,478.91,567.01,0.53,33.3,48.01,64.56,media,entertainment / electronic media software,41.49,7.36,35.59,0.36,0.09,474.63,449.39,1.62,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,NH,2025.9,-0.18,1969.8,1995.0,2014.1,2043.59,0.49,45.96,51.08,59.75,healthcare,healthcare,15.48,0.59,7.03,-0.03,0.11,1942.54,1901.61,1.25,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,ANANTRAJ,600.8,1.47,570.85,561.0,564.84,654.75,1.35,35.93,37.53,67.02,realty,construction,19.98,6.37,11.5,0.0,-0.1,556.53,525.53,1.24,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,ETERNAL,286.95,0.12,278.71,278.55,290.56,281.53,0.55,377.57,717.38,61.43,i.t,miscellaneous,36.92,-1.24,1.05,-0.08,-0.13,269.85,259.52,1.18,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,OIL,453.55,4.18,428.41,427.25,423.06,499.28,1.92,8.78,11.14,60.55,energy,oil drilling / allied services,20.98,7.21,12.95,-0.07,0.01,430.06,415.58,1.11,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,BALRAMCHIN,600.05,-0.73,582.12,582.3,579.88,630.31,0.43,18.99,32.02,65.36,fmcg,sugar,36.19,3.48,35.4,0.31,0.26,567.06,548.51,1.04,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,KAJARIACER,1242.2,0.22,1211.38,1213.3,1230.5,1259.76,0.63,31.75,40.75,70.39,building materials,ceramics - tiles / sanitaryware,39.7,0.95,14.15,0.15,-0.01,1186.76,1157.49,1.0,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,DEEPAKFERT,1605.1,0.7,1544.97,1500.2,1541.07,1701.14,0.36,36.35,27.48,58.85,chemicals,chemicals,24.63,4.15,31.44,0.23,0.04,1493.9,1424.41,0.99,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,MOTILALOFS,973.15,0.63,933.5,950.6,956.52,998.09,0.62,-65.93,31.23,59.51,financials,finance & investments,25.29,1.74,16.79,0.05,-0.04,919.99,885.78,0.97,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,GRAVITA,1809.6,-0.47,1764.49,1774.9,1797.34,1827.98,0.47,35.85,34.79,58.79,metals & mining,mining / minerals / metals,17.06,0.68,-2.0,0.05,0.05,1701.89,1636.51,0.91,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,ICICIBANK,1460.2,1.1,1410.71,1392.0,1417.39,1524.42,1.42,16.95,18.62,73.26,bank,banks - private sector,32.93,3.02,6.95,-0.05,0.05,1403.06,1380.0,0.79,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,ENDURANCE,2741.5,0.31,2660.5,2621.0,2676.31,2839.28,0.43,34.88,40.52,59.65,auto,auto ancillaries,22.05,2.44,5.06,0.0,-0.07,2596.58,2503.69,0.63,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,PNB,111.76,5.66,105.25,104.59,103.03,124.85,5.49,5.52,5.83,64.05,bank,banks - public sector,11.75,8.47,-4.27,-0.22,-0.12,106.17,102.17,0.1,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,PVRINOX,1019.25,2.0,978.04,993.0,997.06,1052.54,1.27,13.42,29.97,59.23,media,entertainment / electronic media software,16.63,2.23,-5.56,-0.09,-0.18,970.33,938.39,-0.06,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,VOLTAS,1357.4,1.12,1300.26,1326.8,1298.8,1445.31,0.24,96.68,119.49,58.24,consumer discretionary,air-conditioners,16.75,4.51,-2.58,-0.11,-0.05,1282.97,1231.45,-0.42,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,GODREJPROP,2118.7,0.79,2024.19,2065.5,2121.91,2113.89,0.51,24.54,34.49,68.26,realty,construction,38.85,-0.15,4.74,0.03,-0.11,1999.13,1917.76,-1.02,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,HOMEFIRST,1273.2,2.53,1210.4,1214.1,1227.12,1342.32,1.01,22.18,24.33,64.55,financials,finance - housing,37.25,3.75,7.79,0.08,0.03,1187.71,1139.99,-1.1,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,ULTRACEMCO,11903.0,1.5,11418.96,11355.0,11601.17,12355.75,1.45,29.34,42.88,60.48,building materials,cement - north india,11.07,2.6,3.25,-0.11,-0.04,11435.24,11182.43,-1.12,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,BRITANNIA,5470.0,1.06,5283.67,5235.5,5334.26,5673.61,0.59,48.56,52.01,61.61,fmcg,food - processing - mnc,13.85,2.54,-9.83,-0.15,-0.09,5278.6,5150.55,-1.74,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,ARE&M,911.3,0.43,885.77,882.4,876.54,963.44,1.3,13.27,18.62,64.26,auto,auto ancillaries,23.9,3.97,-1.08,-0.05,-0.12,860.86,841.53,-1.79,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,DIXON,14589.0,1.81,13881.7,13180.0,13580.77,16101.34,0.59,74.1,53.57,73.58,consumer discretionary,electronics - consumer,33.94,7.42,7.05,0.25,-0.09,13575.75,12840.82,-1.97,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,PERSISTENT,5188.7,0.09,5062.68,5012.9,4857.05,5686.17,0.46,38.34,43.34,59.95,i.t,computers - software - large,15.96,6.83,-17.15,-0.25,-0.15,4883.8,4704.42,-2.02,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,BHARTIHEXA,1617.2,0.73,1543.5,1568.5,1567.09,1692.36,1.09,45.27,46.67,63.4,telecom-service,telecommunications - service provider,25.61,3.2,-7.23,-0.08,-0.16,1521.01,1463.66,-2.28,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,SRF,2871.7,-0.1,2788.98,2716.0,2766.04,3030.19,0.63,36.57,46.39,61.48,chemicals,chemicals,11.39,3.82,-4.78,-0.13,-0.05,2730.76,2647.95,-2.58,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,EIHOTEL,340.2,0.43,328.3,332.1,333.95,349.57,0.61,22.38,33.85,63.05,services,hotels,32.49,1.87,-7.84,-0.08,-0.16,321.77,309.75,-2.6,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,RELIANCE,1323.1,-0.31,1288.6,1286.9,1284.03,1381.71,0.92,21.37,23.96,54.55,energy,refineries,13.53,3.04,-14.2,-0.16,-0.14,1273.69,1259.43,-2.82,2026-07-21,,,,,,,,,,,
