Timestamp,Symbol,Cmp,%ch5,Lch5,Sl,Target,5d_high,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Column26,Scan_Date,%ch,Low 2%,Low5,Rs,Is,Tps,Rs score,High,Lod price,Initial_atr1.5sl,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,From52wh,3d range,5d
2026-07-19T23:40:58.755,RBLBANK,368.1,0.45,-5.36,363.33,397.97,382.35,1.62,29.5,26.41,49.38,bank,banks - private sector,19.18,-1.89,0.1,0.16,0.1,0.11,4.29,365.0,4.77,-6.79,3.1,6.25,6.92,2026-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-19T23:40:58.755,KTKBANK,273.15,1.32,-2.89,262.36,290.34,280.0,1.3,6.32,7.88,45.74,bank,banks - private sector,14.68,-1.03,0.28,0.46,0.28,0.42,3.13,267.95,5.33,-6.18,2.96,5.86,3.96,2026-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-19T23:40:58.755,CENTUM,3711.4,4.42,-1.8,3581.17,3714.03,3809.0,0.72,276.97,-117.78,49.61,consumer discretionary,electronics - components,24.16,-4.58,0.49,0.41,0.49,0.37,3.28,3531.8,1.85,-7.87,4.17,5.82,9.25,2026-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-19T23:40:58.755,DCBBANK,189.93,2.64,-1.95,185.31,192.03,193.65,0.71,7.43,8.26,44.5,bank,banks - private sector,14.96,-4.15,-0.04,0.15,-0.04,0.14,1.25,186.35,1.81,-5.01,3.2,5.82,5.87,2026-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-19T23:40:58.755,ANGELONE,328.95,2.67,-6.65,334.55,357.55,355.3,0.57,32.38,5.57,46.19,financials,finance & investments,13.39,-2.55,0.29,0.33,0.29,0.32,1.02,342.55,3.44,-5.39,3.31,5.65,4.76,2026-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-19T23:40:58.755,ASAHIINDIA,881.2,2.75,-4.25,850.5,979.3,940.1,2.81,42.37,64.65,51.93,building materials,glass & glass products,19.96,2.6,-0.16,-0.05,-0.16,-0.08,1.66,899.95,7.57,-5.34,3.18,5.59,4.56,2026-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-19T23:40:58.755,ZENTEC,1769.7,-0.51,-6.24,1786.24,1974.56,1895.0,0.65,126.05,82.24,53.13,aerospace & defence,miscellaneous,13.57,0.31,0.31,0.31,0.31,0.27,3.69,1813.4,5.27,-8.12,4.25,5.34,11.26,2026-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-19T23:40:58.755,LLOYDSME,1865.4,4.35,-1.31,1736.61,1862.59,1877.9,1.13,17.42,26.72,45.12,metals & mining,mining / minerals / metals,17.83,-1.86,0.24,0.31,0.24,0.28,2.54,1755.0,3.63,-5.7,3.33,5.31,4.77,2026-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-19T23:40:58.755,SSWL,266.21,15.02,-1.1,239.65,252.45,283.0,0.59,15.06,19.69,55.18,auto,auto ancillaries,30.3,-1.77,0.06,0.07,0.06,0.04,1.99,241.25,2.67,-6.57,3.55,4.99,11.71,2026-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-19T23:40:58.755,USHAMART,494.95,1.31,-4.92,487.79,532.41,516.8,0.45,25.51,32.35,49.89,metals & mining,steel - medium / small,15.48,0.49,0.04,0.08,0.04,0.06,1.39,503.1,4.57,-5.21,3.14,4.96,5.85,2026-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
