Timestamp,Symbol,Cmp,%ch5,Lch5,Sl,Target,5d_high,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Column26,Scan_Date,High,Lod price,%ch,Initial_atr1.5sl,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Lod dist%,Vars,Smavars,Market_cap,Low 2%,Low5,Rs,Is,Tps,Rs score,Max2,W rsi,Adr p - adr%,From52wh,3d range,5d
2026-07-08T15:05:14.254,LTF,314.0,,,315.75,310.5,,,24.38,28.04,,financials,finance & investments,,8.05,-0.1,0.13,-0.04,0.21,,,5.67,,3.49,0.3,,2026-07-08,330.8,313.05,-6.04,299.08,5.67,5.67,26.32,10.95,3.14,3.14,2.4,114.25,83696.58,1.7,0.58,2.62,8.68,851855891,2504386016,,,,,,,,,,,,,,,,
2026-07-08T15:05:14.254,M&MFIN,330.5,,,318.13,355.23,,,12.24,15.97,,financials,finance & investments,,4.64,-0.21,0.08,-0.25,0.08,,,3.63,,3.66,2.05,,2026-07-08,335.6,323.85,-0.51,313.21,3.63,3.63,21.89,12.11,3.66,3.66,1.81,127.52,46174.84,1.79,-1.6,1.94,54.93,660388561,1389971160,,,,,,,,,,,,,,,,
2026-07-08T15:05:14.254,DELHIVERY,498.55,,,495.1,505.45,,,128.49,253.87,,transportation,miscellaneous,,6.41,0.12,0.02,0.17,0.06,,,4.35,,3.29,0.11,,2026-07-08,519.65,498.0,-3.74,475.86,4.35,4.35,33.81,16.39,3.15,3.15,2.06,78.11,38770.41,2.73,0.34,2.21,3.36,748608108,748608108,,,,,,,,,,,,,,,,
2026-07-08T15:05:14.254,BHARATFORG,2085.3,,,2140.4,1975.11,,,107.27,93.52,,industrials,castings & forgings,,-1.7,0.3,0.62,0.31,0.64,,,3.21,,3.01,0.11,,2026-07-08,2149.9,2083.0,-1.25,1992.93,3.21,3.21,104.85,62.72,3.11,3.11,1.67,50.78,100953.2,3.1,3.02,1.76,3.67,267385008,478088632,,,,,,,,,,,,,,,,
2026-07-08T15:05:14.254,PHOENIXLTD,2015.2,,,2002.29,2041.03,,,44.66,60.64,,realty,construction,,5.2,-0.04,0.18,-0.0,0.21,,,3.27,,3.08,0.09,,2026-07-08,2079.3,2013.4,-2.89,1928.58,3.27,3.27,189.56,62.07,3.11,3.11,3.05,63.56,74212.76,3.17,1.79,3.37,2.9,188665657,357634631,,,,,,,,,,,,,,,,
2026-07-08T15:05:14.254,ANANTRAJ,541.6,,,518.65,587.5,,,32.39,33.61,,realty,construction,,4.01,-0.15,-0.18,-0.16,-0.18,,,8.35,,3.93,2.54,,2026-07-08,572.3,528.2,0.65,510.9,8.35,8.35,18.09,21.28,3.3,3.3,0.85,308.98,19364.98,3.26,1.13,0.88,62.97,153279607,359876930,,,,,,,,,,,,,,,,
2026-07-08T15:05:14.254,IIFL,514.85,,,510.99,522.58,,,9.33,13.42,,financials,finance & investments,,1.49,-0.27,-0.0,-0.25,0.02,,,4.97,,3.75,0.36,,2026-07-08,538.5,513.0,-1.84,485.39,4.97,4.97,26.65,19.3,3.55,3.55,1.38,50.54,22306.44,3.67,1.68,1.46,9.58,319614908,425289575,,,,,,,,,,,,,,,,
2026-07-08T15:05:14.254,ANANDRATHI,2051.2,,,2004.67,2144.26,,,41.16,42.87,,financials,finance & investments,,3.6,0.21,0.24,0.22,0.24,,,2.81,,3.32,1.32,,2026-07-08,2091.6,2034.4,-0.04,1962.35,3.32,3.32,220.34,68.14,3.12,3.12,3.23,40.09,34071.67,4.0,2.05,3.62,24.65,97346110,166041268,,,,,,,,,,,,,,,,
2026-07-08T15:05:14.254,PRESTIGE,1621.6,,,1636.35,1592.09,,,69.78,60.28,,realty,construction,,3.93,-0.1,-0.09,-0.06,-0.06,,,4.4,,3.37,0.24,,2026-07-08,1689.0,1617.8,-3.09,1542.81,4.4,4.4,168.7,54.6,3.32,3.32,3.09,108.38,72074.09,4.17,3.04,3.45,6.96,168230232,430730232,,,,,,,,,,,,,,,,
2026-07-08T15:05:14.254,REDINGTON,267.4,,,281.59,239.02,,,13.34,14.4,,services,trading,,-2.65,-0.12,-0.03,-0.09,-0.01,,,6.17,,4.02,0.32,,2026-07-08,283.0,266.55,-2.6,251.91,6.17,6.17,26.73,10.75,4.11,4.11,2.49,61.78,21463.62,4.44,3.2,2.76,7.91,781774431,781774431,,,,,,,,,,,,,,,,
