Timestamp,Symbol,High,Lod price,Cmp,%ch,Initial_atr1.5sl,Sl,Target,Forward pe,Pe,Sector,Industry,%ch y_low,Srs,Ars,Srs y,Ars y,%ch_high,%ch 2 low,%ch sl,Atr%,%ch_3low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Scan_Date,Low,Max2,R_vol,Rsi,W rsi,Adx,Adr p - adr%,%ch7,Lch7,Lc
2026-03-09T14:38:47.48,AEROFLEX,215.81,,212.74,-3.41,196.1,227.26,183.7,41.55,57.96,metals & mining,steel - medium / small,-3.63,0.12,0.02,0.13,0.06,4.27,4.27,4.27,5.49,2.78,17.82,11.68,,,,,,,,,49.33,,,2026-03-09,206.98,215.81,0.5,52.5,57.04,35.73,5.47,,,
2026-03-09T14:38:47.48,GVT&D,3817.7,,3775.0,-2.43,3530.24,3782.31,3760.38,83.08,92.76,industrials,electric equipment,0.87,0.28,0.52,0.29,0.56,3.74,3.74,3.74,4.57,2.58,478.72,172.44,,,,,,,,,55.09,,,2026-03-09,3680.0,3817.7,0.48,59.02,67.82,36.98,4.2,,,
2026-03-09T14:38:47.48,SIEMENS,3232.6,,3230.0,-1.19,3062.2,3253.15,3183.69,103.53,65.8,industrials,electric equipment,-2.54,-0.07,-0.01,-0.04,0.01,3.28,3.28,3.28,3.82,3.19,113.49,123.36,,,,,,,,,81.06,,,2026-03-09,3130.0,3232.6,0.6,51.29,52.97,14.87,3.25,,,
2026-03-09T14:38:47.48,INOXINDIA,1180.0,,1157.0,-2.0,1101.09,1133.62,1203.76,43.24,43.18,industrials,packaging,-0.67,-0.1,-0.07,-0.1,-0.05,4.77,4.77,4.15,3.85,2.73,25.29,44.6,,,,,,,,,53.82,,,2026-03-09,1133.0,1180.0,1.23,52.88,51.47,17.33,3.21,,,
2026-03-09T14:38:47.48,ABB,5982.5,,5930.0,-2.18,5653.31,5991.85,5806.29,72.56,76.99,industrials,electric equipment,-2.49,0.06,-0.04,0.09,-0.02,2.21,2.21,2.21,3.31,1.65,458.56,196.16,,,,,,,,,39.25,,,2026-03-09,5853.0,5982.5,0.54,55.17,61.32,31.78,2.93,,,
2026-03-09T14:38:47.48,VEDL,713.25,,705.55,-2.14,667.59,697.8,721.06,12.06,19.86,metals & mining,mining / minerals / metals,1.33,0.5,0.54,0.52,0.58,2.18,2.18,2.18,3.74,1.08,34.44,26.37,,,,,,,,,28.64,,,2026-03-09,698.0,713.25,0.47,53.75,75.59,15.27,2.88,,,
2026-03-09T14:38:47.48,CUMMINSIND,4750.0,,4697.3,-2.15,4480.17,4865.24,4361.41,66.99,59.36,industrials,engines,-2.39,0.08,0.37,0.11,0.4,2.77,2.77,2.77,3.38,1.67,330.52,158.98,,,,,,,,,47.49,,,2026-03-09,4621.8,4750.0,0.41,54.43,62.22,33.87,2.78,,,
2026-03-09T14:38:47.48,NTPC,379.0,,374.55,-1.59,361.38,376.15,371.36,16.54,15.26,power & utilities,power generation and supply,-0.39,0.07,0.09,0.07,0.11,2.05,2.05,2.05,2.62,2.17,18.4,9.8,,,,,,,,,32.13,,,2026-03-09,371.4,379.0,0.84,54.82,63.06,21.29,2.06,,,
2026-03-08T23:58:15.94,DIVGIITTS,744.0,,721.05,2.68,659.29,735.1,692.94,46.82,59.94,auto,auto ancillaries,-8.29,-0.02,0.2,-0.04,0.17,8.77,8.77,5.68,6.99,13.19,74.94,50.42,,,,,,,,,33.81,,,2026-03-08,704.0,744.0,1.68,55.38,61.98,33.63,6.72,,,
2026-03-08T23:58:15.94,PFOCUS,279.5,,275.65,-1.15,252.4,267.87,291.2,75.73,-59.41,realty,miscellaneous,2.91,0.46,1.36,0.61,1.39,2.68,2.68,2.68,5.56,2.51,26.93,15.32,,,,,,,,,22.53,,,2026-03-08,272.2,279.5,0.57,57.36,72.47,36.8,6.17,,,
