Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date,High,Lod price,Initial_atr1.5sl,%ch y_low,Srs y,Ars y,%ch_high,%ch 2 low,Atr%,%ch_3low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,%ch7,Lch7,7d_high,Lc,Low,%ch sl atr,Bollinger bandwidth,%ch5,Lch5,5d_high,Column26,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m,Max2,W rsi,Adr p - adr%
2026-07-30T18:35:37.388,ATHERENERG,1240.9,-0.42,,,1259.33,1204.03,,-118.41,-89.33,,auto,automobiles - scooters and 3 - wheelers,,2.71,,0.9,0.88,,,,2026-07-30,1265.9,1232.5,1163.2,-6.13,0.88,0.89,6.28,6.28,4.05,4.18,152.29,50.29,4.47,4.47,3.03,54.62,47740.7,4.79,4.7,3.45,16.7,227112254,383120970,,,,,,,,,,,,,,,,,,,,,
2026-07-30T18:35:37.388,GODREJPROP,2110.9,-2.09,,,2116.87,2098.95,,24.45,35.1,,realty,construction,,2.53,,0.24,-0.08,,,,2026-07-30,2154.0,2100.9,2014.26,0.87,0.27,-0.05,2.53,2.53,3.2,2.53,217.88,67.63,3.24,3.24,3.22,71.75,64944.32,4.82,3.94,3.59,14.79,145611988,301225962,,,,,,,,,,,,,,,,,,,,,
2026-07-30T18:35:37.388,SANSERA,3235.2,0.07,,,3201.56,3302.47,,41.46,61.97,,auto,auto ancillaries,,2.53,,0.76,1.01,,,,2026-07-30,3252.0,3171.7,3060.12,-1.22,0.77,1.01,2.53,2.53,3.51,2.02,174.64,113.46,3.71,3.71,1.54,29.7,20175.7,4.9,4.56,1.63,55.97,44176328,62403568,,,,,,,,,,,,,,,,,,,,,
2026-07-30T18:35:37.388,HSCL,760.5,-1.22,,,762.26,756.99,,41.79,48.27,,chemicals,chemicals,,2.72,,0.52,0.61,,,,2026-07-30,773.6,753.1,712.2,0.64,0.57,0.63,3.11,3.11,4.31,3.33,83.55,32.8,4.27,4.27,2.55,27.05,38844.66,4.93,3.34,2.86,22.56,239682297,504541599,,,,,,,,,,,,,,,,,,,,,
2026-07-30T18:35:37.388,PGEL,613.0,0.09,,,593.44,652.12,,67.51,88.63,,consumer discretionary,electronics - components,,2.7,,0.07,0.06,,,,2026-07-30,622.65,606.3,581.82,-1.6,0.04,0.06,6.42,6.42,3.46,7.26,73.53,21.21,3.63,3.63,3.47,55.21,17490.77,5.23,1.77,3.94,31.59,161717368,285586908,,,,,,,,,,,,,,,,,,,,,
2026-07-30T18:35:37.388,PARAS,1212.4,0.0,,,1151.09,1335.03,,70.98,94.87,,aerospace & defence,engineering,,2.52,,0.6,0.63,,,,2026-07-30,1222.0,1192.0,1128.26,2.35,0.62,0.63,2.94,2.94,3.84,2.66,85.32,46.57,4.36,4.36,1.83,15.24,9770.41,5.31,5.17,1.97,43.81,37718746,80587330,,,,,,,,,,,,,,,,,,,,,
2026-07-30T18:35:37.388,REDINGTON,310.95,8.18,,,267.18,398.5,,15.52,15.08,,services,trading,,9.92,,0.09,0.01,,,,2026-07-30,338.5,307.95,292.63,3.55,0.01,-0.06,22.87,22.87,5.01,13.42,51.4,15.59,3.72,3.72,3.3,909.96,22472.11,5.93,4.3,3.95,19.24,781774431,781774431,,,,,,,,,,,,,,,,,,,,,
2026-07-30T18:35:37.388,EXIDEIND,452.7,3.91,,,436.06,485.97,,44.73,43.35,,auto,auto ancillaries,,7.3,,0.3,0.15,,,,2026-07-30,461.4,430.0,431.39,-3.67,0.24,0.11,9.77,9.77,3.74,7.7,50.44,16.94,3.18,3.18,2.98,626.62,37030.25,6.4,4.79,3.35,134.02,459045334,850000000,,,,,,,,,,,,,,,,,,,,,
2026-07-30T18:35:37.388,E2E,492.55,0.22,,,474.62,528.42,,57.54,-68.83,,i.t,computers - software - medium / small,,5.68,,1.22,0.69,,,,2026-07-30,499.75,472.9,453.98,9.1,1.16,0.69,5.68,5.68,5.91,4.16,78.77,29.1,5.14,5.14,2.71,82.26,10102.49,7.24,5.83,3.22,67.51,124467620,205564890,,,,,,,,,,,,,,,,,,,,,
2026-07-29T22:55:16.027,UNIONBANK,171.08,1.69,,,166.66,179.91,,5.79,6.22,,bank,banks - public sector,,2.26,,-0.13,0.06,,,,2026-07-29,171.94,168.14,163.38,1.22,-0.12,0.04,2.53,2.53,2.97,2.02,2.64,5.09,3.28,3.28,0.52,78.17,128427.78,0.22,-1.69,0.53,57.79,1926944757,7633605607,,,,,,,,,,,,,,,,,,,,,
2026-07-29T22:55:16.027,PPLPHARMA,195.68,1.16,,,180.71,225.61,,-698.86,-78.31,,healthcare,pharmaceuticals - indian - bulk drugs & formln,,4.04,,0.17,-0.03,,,,2026-07-29,201.0,193.2,184.72,6.19,0.16,-0.04,6.97,6.97,3.99,8.26,23.17,7.8,4.37,4.37,2.97,161.4,25752.27,0.29,-0.24,3.37,31.79,868023458,1331348130,,,,,,,,,,,,,,,,,,,,,
2026-07-29T22:55:16.027,BELRISE,230.47,0.63,,,224.97,241.48,,37.66,37.48,,auto,auto ancillaries,,1.86,,0.33,0.44,,,,2026-07-29,232.95,228.7,219.11,0.82,0.32,0.43,2.73,2.73,2.95,1.63,1.8,6.8,3.35,3.35,0.26,54.56,22150.68,0.58,0.18,0.27,26.01,298495928,889879192,,,,,,,,,,,,,,,,,,,,,
2026-07-29T22:55:16.027,LALPATHLAB,1882.5,4.28,,,1722.09,2203.33,,46.37,43.52,,healthcare,healthcare,,5.08,,0.24,0.18,,,,2026-07-29,1893.6,1802.0,1790.89,5.66,0.18,0.13,5.78,5.78,3.66,5.16,222.62,68.87,3.36,3.36,3.23,195.68,30261.97,1.66,1.54,3.67,116.88,78475500,167637770,,,,,,,,,,,,,,,,,,,,,
2026-07-29T22:55:16.027,ABB,7310.5,0.93,,,7314.27,7302.95,,21.71,51.55,,industrials,electric equipment,,5.26,,0.34,0.44,,,,2026-07-29,7458.0,7085.0,6978.28,-1.16,0.41,0.42,5.26,5.26,3.22,3.18,252.71,235.76,3.15,3.15,1.07,148.44,153495.83,1.68,-0.35,1.11,95.65,52977094,211908375,,,,,,,,,,,,,,,,,,,,,
2026-07-29T22:55:16.027,PERSISTENT,5483.3,1.01,,,5196.58,6056.74,,40.52,45.34,,i.t,computers - software - large,,2.36,,-0.19,-0.14,,,,2026-07-29,5589.0,5460.0,5222.13,4.56,-0.2,-0.14,4.75,4.75,3.14,4.7,491.45,171.98,3.06,3.06,2.86,70.17,85633.01,1.76,0.14,3.14,13.55,109960070,157750000,,,,,,,,,,,,,,,,,,,,,
2026-07-29T22:55:16.027,AZAD,2395.2,-0.25,,,2404.07,2377.46,,107.5,117.01,,aerospace & defence,engineering,,2.69,,0.47,0.42,,,,2026-07-29,2444.0,2380.0,2246.3,-1.17,0.52,0.42,3.4,3.4,3.96,1.33,209.79,94.9,4.7,4.7,2.21,60.04,15506.72,2.72,1.52,2.42,16.02,28517503,64581743,,,,,,,,,,,,,,,,,,,,,
2026-07-29T22:55:16.027,LLOYDSME,2051.3,3.65,,,1910.02,2333.86,,19.16,28.35,,metals & mining,mining / minerals / metals,,3.52,,0.66,0.51,,,,2026-07-29,2066.0,1995.7,1953.23,5.12,0.64,0.46,5.25,5.25,3.55,6.4,249.66,72.9,3.57,3.57,3.42,161.28,111404.91,3.25,0.77,3.9,76.27,215986677,562906951,,,,,,,,,,,,,,,,,,,,,
2026-07-29T22:55:16.027,PAYTM,1330.0,1.69,,,1331.51,1326.98,,96.66,128.73,,i.t,miscellaneous,,3.26,,0.04,-0.02,,,,2026-07-29,1335.3,1293.1,1264.16,-4.13,0.05,-0.03,3.75,3.75,3.37,4.72,150.11,44.78,3.6,3.6,3.35,143.83,83749.68,3.6,2.64,3.78,82.4,640337006,640337006,,,,,,,,,,,,,,,,,,,,,
2026-07-29T22:55:16.027,ITDC,719.5,0.3,,,756.52,645.46,,54.51,74.65,,services,hotels,,2.81,,0.29,0.17,,,,2026-07-29,734.4,714.35,660.63,-5.59,0.32,0.17,2.86,2.86,5.56,0.77,84.73,40.01,6.88,6.88,2.12,8.36,6152.67,3.72,2.52,2.4,12.87,11127719,85769400,,,,,,,,,,,,,,,,,,,,,
2026-07-29T22:55:16.027,PRESTIGE,1673.0,-0.55,,,1657.85,1703.3,,71.99,60.6,,realty,construction,,2.72,,0.08,-0.05,,,,2026-07-29,1702.4,1657.4,1594.75,-2.26,0.11,-0.04,3.93,3.93,3.08,4.26,142.64,51.52,3.18,3.18,2.77,110.14,72461.75,4.16,3.7,3.03,30.28,168230232,430730232,,,,,,,,,,,,,,,,,,,,,
2026-07-29T22:55:16.027,REDINGTON,287.45,3.38,,,266.27,329.8,,14.34,14.59,,services,trading,,5.19,,0.02,-0.06,,,,2026-07-29,289.8,275.5,272.66,2.61,0.02,-0.09,5.71,5.71,3.53,10.47,29.7,10.14,3.49,3.49,2.93,100.88,21737.24,4.67,4.2,3.27,117.86,781774431,781774431,,,,,,,,,,,,,,,,,,,,,
2026-07-29T22:55:16.027,IIFL,595.1,2.19,,,564.61,656.09,,9.37,11.78,,financials,finance & investments,,3.99,,0.01,0.06,,,,2026-07-29,602.3,579.2,564.25,2.9,0.02,0.04,5.11,5.11,3.57,6.53,74.31,21.24,3.68,3.68,3.5,99.26,24768.8,4.75,3.42,4.0,74.86,319650320,425324987,,,,,,,,,,,,,,,,,,,,,
2026-07-29T22:55:16.027,ATHERENERG,1246.1,3.67,,,1263.68,1210.95,,-118.9,-86.16,,auto,automobiles - scooters and 3 - wheelers,,5.11,,0.89,0.92,,,,2026-07-29,1252.0,1191.1,1166.73,-6.18,0.78,0.85,5.11,5.11,4.24,4.62,164.1,52.89,4.49,4.49,3.1,73.33,46051.14,4.79,4.67,3.57,103.99,227112254,383120970,,,,,,,,,,,,,,,,,,,,,
2026-07-29T22:55:16.027,SANSERA,3233.1,1.76,,,3206.47,3286.36,,41.43,60.9,,auto,auto ancillaries,,2.83,,0.78,1.01,,,,2026-07-29,3264.9,3175.1,3054.71,-1.6,0.76,0.98,2.95,2.95,3.67,1.95,189.32,118.56,3.69,3.69,1.6,45.23,19826.86,4.82,4.64,1.7,48.92,44176328,62403568,,,,,,,,,,,,,,,,,,,,,
2026-07-29T22:55:16.027,MSTCLTD,614.0,2.93,,,575.09,691.82,,13.99,19.22,,i.t,trading,,4.36,,0.2,0.12,,,,2026-07-29,620.0,594.1,567.74,0.52,0.2,0.09,4.54,4.54,4.48,3.53,22.61,27.5,5.0,5.0,0.82,12.28,4199.71,5.36,5.21,0.85,72.36,24819200,70400000,,,,,,,,,,,,,,,,,,,,,
2026-07-29T22:55:16.027,HSCL,769.9,2.7,,,754.64,800.43,,42.3,47.0,,chemicals,chemicals,,2.87,,0.58,0.62,,,,2026-07-29,771.8,750.25,720.54,0.21,0.53,0.58,4.86,4.86,4.51,4.61,96.89,34.69,4.33,4.33,2.79,44.86,37822.96,5.43,3.39,3.2,56.65,239682297,504541599,,,,,,,,,,,,,,,,,,,,,
2026-07-29T22:55:16.027,EXIDEIND,435.65,2.89,,,436.12,434.71,,43.05,42.13,,auto,auto ancillaries,,3.91,,0.25,0.11,,,,2026-07-29,436.8,420.35,415.91,-3.4,0.2,0.08,3.91,3.91,3.38,3.64,35.55,14.71,3.21,3.21,2.42,63.91,35989.0,5.44,4.77,2.63,103.99,459045334,850000000,,,,,,,,,,,,,,,,,,,,,
2026-07-29T22:55:16.027,PGEL,612.45,4.61,,,593.28,650.78,,67.45,84.72,,consumer discretionary,electronics - components,,5.8,,0.05,0.12,,,,2026-07-29,619.05,585.1,580.87,-4.46,0.03,0.07,8.32,8.32,3.59,7.17,75.92,21.96,3.61,3.61,3.46,76.41,16719.69,5.46,1.46,3.95,124.55,161717368,285586908,,,,,,,,,,,,,,,,,,,,,
