Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date,High,Lod price,Initial_atr1.5sl,%ch y_low,Srs y,Ars y,%ch_high,%ch 2 low,Atr%,%ch_3low,Lod dist%,E_s50,Avg_true_range,Adr%,Vars,Smavars,Ma_x,Rvol,Market_cap,From52wh,3d range,5d,Free float,Low,Max2,W rsi,Lod dist,Adr p - adr%
2026-04-02T12:31:44.185,GUJALKALI,588.5,-0.47,,,541.51,682.48,,-54.09,-505.38,,chemicals,chemicals,,3.78,,-0.02,-0.04,,,,2026-04-02,600.0,578.15,534.9,13.12,-0.01,-0.04,4.21,4.21,8.04,5.85,21.86,107.19,47.34,7.85,7.24,2.57,2.26,78.81,4342.33,,,,,,,,,
2026-04-02T12:31:44.185,ADANIPOWER,153.44,-2.34,,,151.01,158.3,,29.74,8.7,,power & utilities,power generation and supply,,2.84,,-0.07,0.24,,,,2026-04-02,154.9,150.62,144.57,2.97,-0.01,0.27,2.84,2.84,4.22,2.84,43.53,8.91,6.48,4.01,7.06,4.98,1.38,73.89,302981.84,,,,,,,,,
2026-04-02T12:31:44.185,GPIL,272.85,-2.08,,,257.84,302.87,,29.28,23.05,,metals & mining,steel - medium / small,,2.61,,0.02,0.38,,,,2026-04-02,275.0,268.0,255.65,8.39,0.04,0.41,2.61,2.61,4.42,2.0,40.18,14.46,12.07,4.27,7.39,5.14,1.2,62.62,18663.85,,,,,,,,,
2026-04-02T12:31:44.185,SAMMAANCAP,145.25,-0.96,,,136.28,163.19,,9.41,9.25,,financials,finance - housing,,3.11,,-0.21,0.07,,,,2026-04-02,146.37,141.96,136.22,9.02,-0.17,0.08,3.11,3.11,4.83,2.32,46.9,0.1,7.02,3.95,6.43,5.32,0.02,61.76,12197.47,,,,,,,,,
2026-04-02T12:31:44.185,CHENNPETRO,1016.5,-0.13,,,979.45,1090.61,,3.78,7.05,,energy,refineries,,3.98,,0.24,0.32,,,,2026-04-02,1020.0,981.0,923.66,-0.4,0.23,0.32,4.55,4.55,6.73,7.9,51.87,91.56,68.44,7.96,9.27,8.99,1.34,53.58,15156.95,,,,,,,,,
2026-04-02T12:31:44.185,VINCOFE,131.13,-3.25,,,123.74,145.9,,25.02,27.83,,consumer discretionary,trading,,3.3,,-0.18,-0.11,,,,2026-04-02,134.6,130.3,122.33,9.96,-0.16,-0.08,3.3,3.3,4.51,0.64,14.05,-9.33,5.91,4.49,1.83,1.09,-1.58,52.86,1974.66,,,,,,,,,
2026-04-02T12:31:44.185,ATHERENERG,761.65,-1.22,,,748.52,787.91,,-85.77,-37.93,,auto,automobiles - scooters and 3 - wheelers,,4.01,,0.2,1.1,,,,2026-04-02,774.9,745.0,708.58,2.47,0.25,1.12,4.01,4.01,5.1,2.63,42.89,60.87,38.82,4.97,9.77,6.63,1.57,49.4,29441.86,,,,,,,,,
2026-04-02T12:31:44.185,KTKBANK,219.9,-4.46,,,224.04,211.61,,7.15,7.53,,bank,banks - private sector,,5.34,,0.17,0.1,,,,2026-04-02,228.58,217.0,204.67,1.04,0.22,0.15,5.34,5.34,5.19,1.34,25.41,13.56,11.41,5.12,9.19,7.65,1.19,46.05,8703.66,,,,,,,,,
2026-04-02T12:31:44.185,APARINDS,9419.0,-3.64,,,9283.22,9690.57,,45.27,40.33,,industrials,electric equipment,,4.65,,0.06,0.03,,,,2026-04-02,9730.5,9298.5,8644.23,4.94,0.09,0.07,4.65,4.65,5.98,1.3,21.41,3.45,562.91,5.24,11.99,8.1,0.01,42.19,39262.52,,,,,,,,,
2026-04-02T12:31:44.185,PAISALO,34.51,-2.4,,,32.97,37.59,,11.82,15.18,,financials,finance & investments,,2.12,,-0.17,0.07,,,,2026-04-02,35.14,34.41,31.78,3.87,-0.15,0.1,3.63,3.63,5.71,3.08,5.07,0.38,1.97,6.08,5.48,3.65,0.2,41.73,3216.07,,,,,,,,,
