Timestamp,Symbol,Cmp,%ch5,Lch5,Sl,Target,5d_high,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Column26,Scan_Date,%ch,Low3,Initial_atr1.5sl,0d_high,W rsi,%ch_2low,Adr p - adr%,High,Lod price,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,%ch7,Lch7,7d_high,Bollinger bandwidth,Column27,Change,Low 2%,Low5,Rs,Is,Tps,Rs score,Max2
2026-08-18T08:36:07.147,SIS,416.45,,,424.03,447.77,,,14.48,40.16,56.47,miscellaneous,miscellaneous,27.51,1.32,0.16,0.3,0.15,0.29,1.45,429.65,2.8,-1.59,2.13,3.15,,2026-08-18,,,,,,,,,,,,,,,,,,,,,,,,,1.38,-4.96,444.1,2.91,,,,,,,,,
2026-08-18T08:36:07.147,CIPLA,1431.5,,,1432.87,1521.13,,,36.63,34.3,60.91,healthcare,pharmaceuticals - indian - bulk drugs & formln,20.28,1.96,0.03,-0.07,0.01,-0.08,1.1,1461.0,3.08,-1.42,1.99,2.32,,2026-08-18,,,,,,,,,,,,,,,,,,,,,,,,,0.45,-3.61,1488.1,3.62,,,,,,,,,
2026-08-17T23:29:12.793,GHCLTEXTIL,120.08,,,114.91,125.09,,,7.29,11.73,65.11,textiles,textiles - spinning - synthetic / blended,34.43,0.03,0.37,0.51,0.34,0.44,4.39,114.95,4.43,-4.28,4.75,6.62,,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,2.75,-4.74,123.3,15.02,,,,,,,,,
2026-08-17T23:29:12.793,STOVEKRAFT,748.5,,,755.95,844.45,,,36.34,51.1,60.08,consumer discretionary,domestic appliances,33.52,0.54,0.36,0.25,0.3,0.19,5.29,760.0,5.85,-1.88,5.63,6.62,,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,4.6,-7.77,849.8,5.68,,,,,,,,,
2026-08-17T23:29:12.793,PLASTIBLEN,191.8,,,188.03,206.95,,,9.0,14.12,61.01,chemicals,chemicals,25.59,0.37,0.17,0.13,0.14,0.09,4.65,188.72,5.03,-2.56,3.75,5.26,,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,5.9,-3.67,209.14,9.47,,,,,,,,,
2026-08-17T23:29:12.793,AUBANK,1072.2,,,1016.21,1158.99,,,25.22,28.31,62.74,bank,banks - private sector,20.23,2.9,0.02,0.14,-0.02,0.11,4.01,1045.7,7.03,-2.71,2.8,5.06,,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,1.24,-3.61,1105.9,4.71,,,,,,,,,
2026-08-17T23:29:12.793,AARTIIND,526.7,,,478.74,523.66,,,30.84,36.48,58.67,chemicals,chemicals,15.21,0.97,0.04,0.25,0.03,0.22,3.68,483.4,4.69,-3.14,3.1,4.3,,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,8.08,-1.03,541.7,4.91,,,,,,,,,
2026-08-17T23:29:12.793,KAMDHENU,33.85,,,34.82,35.28,,,8.3,11.39,61.57,metals & mining,steel - medium / small,36.76,-1.92,0.48,0.27,0.49,0.25,2.64,34.15,0.66,-3.12,4.68,3.7,,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,2.43,-9.36,35.9,14.48,,,,,,,,,
2026-08-17T23:29:12.793,GUFICBIO,418.2,,,380.09,428.61,,,47.96,65.97,62.03,healthcare,pharmaceuticals - indian - bulk drugs & formln,27.83,3.7,0.19,0.14,0.18,0.11,2.59,394.15,6.38,-3.15,3.14,3.67,,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,9.31,-1.03,442.0,6.24,,,,,,,,,
2026-08-17T23:29:12.793,SIS,416.45,,,424.03,447.77,,,14.48,41.43,56.47,miscellaneous,miscellaneous,27.51,1.32,0.16,0.3,0.15,0.29,1.45,429.65,2.8,-1.59,2.13,3.15,,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,1.38,-4.96,444.1,2.91,,,,,,,,,
2026-08-17T23:29:12.793,CIPLA,1431.5,,,1432.87,1521.13,,,36.63,34.74,60.91,healthcare,pharmaceuticals - indian - bulk drugs & formln,20.28,1.96,0.03,-0.07,0.01,-0.08,1.1,1461.0,3.08,-1.42,1.99,2.32,,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,0.45,-3.61,1488.1,3.62,,,,,,,,,
2026-08-16T23:30:15.557,MTARTECH,7056.0,,,6423.15,8321.7,,,108.02,162.62,,aerospace & defence,engineering,,18.57,0.83,1.69,0.86,1.77,,,3.53,,4.58,4.8,,2026-08-16,-2.46,,6529.43,,,,,7268.0,7020.0,3.53,3.53,173.79,322.87,3.61,3.61,0.54,6.61,21703.97,-3.93,-5.0,0.55,11.15,2.1729927e7,3.0759591e7,,,,,,,,,,,,,
2026-08-16T23:30:15.557,FORCEMOT,18361.0,,,18050.34,18982.32,,,27.93,19.33,,auto,automobiles - lcvs / hcvs,,3.25,-0.29,-0.0,-0.32,0.01,,,1.9,,3.29,0.24,,2026-08-16,-0.89,,17445.0,,,,,18666.0,18318.0,1.9,1.9,210.5,604.33,3.13,3.13,0.35,45.87,24192.93,-3.04,-4.32,0.35,7.12,5.055915e6,1.3176262e7,,,,,,,,,,,,,
2026-08-16T23:30:15.557,MCX,2911.5,,,2688.87,3356.76,,,44.9,18.86,,financials,miscellaneous,,11.76,0.1,0.4,0.14,0.43,,,2.26,,3.23,1.09,,2026-08-16,-1.97,,2772.65,,,,,2977.4,2911.5,2.26,2.26,114.26,93.9,3.01,3.01,1.22,52.74,74240.88,-2.64,-5.63,1.27,0.0,2.54991845e8,2.54991845e8,,,,,,,,,,,,,
2026-08-16T23:30:15.557,POWERINDIA,35700.0,,,33008.47,41083.07,,,135.25,138.32,,industrials,electric equipment,,9.96,0.45,0.56,0.42,0.55,,,2.69,,3.53,2.79,,2026-08-16,0.96,,33822.47,,,,,36230.0,35280.0,3.13,3.13,2154.4,1259.48,3.11,3.11,1.71,72.18,159123.34,-2.48,-2.75,1.82,33.35,1.2786107e7,4.4572363e7,,,,,,,,,,,,,
2026-08-16T23:30:15.557,NAVINFLUOR,8235.0,,,7958.86,8787.29,,,43.39,53.41,,chemicals,chemicals,,5.71,0.15,0.39,0.18,0.4,,,1.61,,3.27,1.35,,2026-08-16,-0.71,,7853.7,,,,,8345.5,8213.0,1.61,1.61,617.55,269.62,3.2,3.2,2.29,32.24,42238.27,1.11,0.96,2.48,8.16,3.7399435e7,5.1291159e7,,,,,,,,,,,,,
2026-08-16T23:30:15.557,FINCABLES,1246.85,,,1066.83,1606.9,,,19.15,23.84,,industrials,cables - power,,24.4,0.4,0.61,0.4,0.61,,,4.25,,4.9,1.23,,2026-08-16,-0.2,,1172.84,,,,,1283.95,1231.65,4.25,4.25,176.76,61.05,4.08,4.08,2.9,130.46,19069.24,1.89,-2.15,3.37,24.9,9.8098175e7,1.52939345e8,,,,,,,,,,,,,
