Timestamp,Symbol,Cmp,%ch7,Lch7,Sl,Target,7d_high,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Bollinger bandwidth,Scan_Date,%ch5,Lch5,5d_high,R_vol,Column26,High,Lod price,%ch,Initial_atr1.5sl,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Max2,W rsi,Adr p - adr%,Low 2%,Low5,Rs,Is,Tps,Rs score
2026-08-03T23:55:58.76,SANSERA,3452.7,,,3222.23,3323.77,,44.24,64.15,53.35,auto,auto ancillaries,36.01,-2.16,0.82,1.07,0.82,1.02,1.72,3217.6,1.58,-6.48,3.84,5.55,,2026-08-03,6.05,-3.11,3471.0,0.31,9.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-03T23:55:58.76,VINCOFE,152.39,,,155.92,169.82,,26.64,27.63,50.55,consumer discretionary,trading,23.11,-1.14,0.02,-0.06,0.02,-0.1,3.41,157.5,4.46,-6.92,3.61,5.38,,2026-08-03,2.17,-9.87,166.4,1.28,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-03T23:55:58.76,SUPRAJIT,512.7,,,487.57,495.23,,24.74,37.91,55.06,auto,auto ancillaries,31.61,-1.74,0.09,0.1,0.09,0.08,1.88,482.35,0.79,-4.76,3.21,5.22,,2026-08-03,7.04,-2.13,526.0,0.21,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-03T23:55:58.76,NH,1919.7,,,2000.36,2107.64,,47.05,50.5,51.27,healthcare,healthcare,14.99,-2.6,0.08,0.1,0.08,0.05,4.52,1965.1,2.68,-5.9,2.43,5.17,,2026-08-03,1.89,-6.82,2092.9,1.24,6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-03T23:55:58.76,DEEPAKFERT,1576.0,,,1549.99,1719.01,,10.15,19.92,54.36,chemicals,chemicals,23.17,1.72,0.28,0.14,0.28,0.1,4.97,1557.1,5.45,-7.32,3.15,4.97,,2026-08-03,2.05,-7.54,1668.0,0.85,5.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-03T23:55:58.76,MOTHERSON,155.01,,,140.85,157.09,,27.29,38.65,54.67,auto,auto ancillaries,17.99,1.31,0.27,0.4,0.27,0.37,1.82,146.3,5.76,-5.09,2.58,4.76,,2026-08-03,4.05,-3.43,155.01,0.59,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-03T23:55:58.76,EQUITASBNK,76.26,,,78.34,79.66,,11.84,16.83,52.07,bank,banks - private sector,17.94,-3.34,0.02,0.28,0.02,0.27,0.5,78.61,0.84,-3.18,3.68,4.29,,2026-08-03,0.75,-10.62,80.29,0.53,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-03T23:55:58.76,SUNDRMFAST,993.25,,,957.71,958.89,,32.33,34.75,58.38,auto,auto ancillaries,22.55,-3.58,-0.03,-0.02,-0.03,-0.04,2.66,933.5,0.06,-4.67,2.19,3.31,,2026-08-03,4.14,-0.87,998.0,0.37,9.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-03T23:55:58.76,MUKANDLTD,143.6,,,139.58,141.56,,0.94,3.38,51.02,metals & mining,steel - medium / small,22.98,-0.52,0.06,-0.01,0.06,-0.02,0.77,139.5,0.71,-3.26,3.34,3.28,,2026-08-03,2.8,-1.63,144.5,0.27,6.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-03T23:55:58.76,KOPRAN,190.27,,,198.66,203.76,,12.17,35.91,53.27,healthcare,pharmaceuticals - indian - bulk drugs & formln,22.98,-0.88,0.41,0.21,0.41,0.2,1.63,197.99,1.29,-3.18,4.15,3.18,,2026-08-03,0.64,-9.47,204.0,0.07,9.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
